Match count: 48. OK   : Compare 1_1 with 1_1. Expected match: true Computed match: true
Match count: 21. OK   : Compare 1_1 with 1_2. Expected match: true Computed match: true
Match count: 20. OK   : Compare 1_1 with 1_3. Expected match: true Computed match: true
Match count: 22. OK   : Compare 1_1 with 1_4. Expected match: true Computed match: true
Match count: 23. OK   : Compare 1_1 with 1_5. Expected match: true Computed match: true
Match count: 7. OK   : Compare 6_1 with 1_1. Expected match: false Computed match: false
Match count: 13. OK   : Compare 2_1 with 1_1. Expected match: false Computed match: false
Match count: 10. OK   : Compare 15_1 with 1_1. Expected match: false Computed match: false
Match count: 6. OK   : Compare 6_1 with 1_2. Expected match: false Computed match: false
Match count: 7. OK   : Compare 11_1 with 1_1. Expected match: false Computed match: false
Match count: 18. ERROR: Compare 1_1 with 1_6. Expected match: true Computed match: false
Match count: 30. OK   : Compare 1_1 with 1_7. Expected match: true Computed match: true
Match count: 9. OK   : Compare 4_1 with 1_1. Expected match: false Computed match: false
Match count: 11. OK   : Compare 8_1 with 1_1. Expected match: false Computed match: false
Match count: 15. OK   : Compare 2_1 with 1_2. Expected match: false Computed match: false
Match count: 20. OK   : Compare 1_1 with 1_8. Expected match: true Computed match: true
Match count: 8. OK   : Compare 3_1 with 1_1. Expected match: false Computed match: false
Match count: 12. OK   : Compare 14_1 with 1_1. Expected match: false Computed match: false
Match count: 8. OK   : Compare 6_1 with 1_3. Expected match: false Computed match: false
Match count: 6. OK   : Compare 11_1 with 1_2. Expected match: false Computed match: false
Match count: 9. OK   : Compare 15_1 with 1_2. Expected match: false Computed match: false
Match count: 8. OK   : Compare 6_1 with 1_4. Expected match: false Computed match: false
Match count: 13. OK   : Compare 1_1 with 2_1. Expected match: false Computed match: false
Match count: 17. OK   : Compare 2_1 with 1_3. Expected match: false Computed match: false
Match count: 13. OK   : Compare 4_1 with 1_2. Expected match: false Computed match: false
Match count: 8. OK   : Compare 8_1 with 1_2. Expected match: false Computed match: false
Match count: 9. OK   : Compare 3_1 with 1_2. Expected match: false Computed match: false
Match count: 16. OK   : Compare 14_1 with 1_2. Expected match: false Computed match: false
Match count: 8. OK   : Compare 11_1 with 1_3. Expected match: false Computed match: false
Match count: 11. OK   : Compare 10_1 with 1_1. Expected match: false Computed match: false
