Match count: 48. OK   : Compare 1_1 with 1_1. Expected match: true Computed match: true
Match count: 21. OK   : Compare 1_1 with 1_2. Expected match: true Computed match: true
Match count: 20. OK   : Compare 1_1 with 1_3. Expected match: true Computed match: true
Match count: 22. OK   : Compare 1_1 with 1_4. Expected match: true Computed match: true
Match count: 23. OK   : Compare 1_1 with 1_5. Expected match: true Computed match: true
Match count: 18. ERROR: Compare 1_1 with 1_6. Expected match: true Computed match: false
Match count: 30. OK   : Compare 1_1 with 1_7. Expected match: true Computed match: true
Match count: 20. OK   : Compare 1_1 with 1_8. Expected match: true Computed match: true
Match count: 13. OK   : Compare 1_1 with 2_1. Expected match: false Computed match: false
Match count: 14. OK   : Compare 1_1 with 2_2. Expected match: false Computed match: false
Match count: 15. OK   : Compare 1_1 with 2_3. Expected match: false Computed match: false
Match count: 13. OK   : Compare 1_1 with 2_4. Expected match: false Computed match: false
Match count: 13. OK   : Compare 1_1 with 2_5. Expected match: false Computed match: false
Match count: 15. OK   : Compare 1_1 with 2_6. Expected match: false Computed match: false
Match count: 15. OK   : Compare 1_1 with 2_7. Expected match: false Computed match: false
Match count: 15. OK   : Compare 1_1 with 2_8. Expected match: false Computed match: false
Match count: 7. OK   : Compare 1_1 with 3_1. Expected match: false Computed match: false
Match count: 8. OK   : Compare 1_1 with 3_2. Expected match: false Computed match: false
Match count: 7. OK   : Compare 1_1 with 3_3. Expected match: false Computed match: false
Match count: 6. OK   : Compare 1_1 with 3_4. Expected match: false Computed match: false
Match count: 6. OK   : Compare 1_1 with 3_5. Expected match: false Computed match: false
Match count: 10. OK   : Compare 1_1 with 3_6. Expected match: false Computed match: false
Match count: 7. OK   : Compare 1_1 with 3_7. Expected match: false Computed match: false
Match count: 10. OK   : Compare 1_1 with 3_8. Expected match: false Computed match: false
Match count: 21. OK   : Compare 1_2 with 1_1. Expected match: true Computed match: true
Match count: 39. OK   : Compare 1_2 with 1_2. Expected match: true Computed match: true
Match count: 28. OK   : Compare 1_2 with 1_3. Expected match: true Computed match: true
Match count: 21. OK   : Compare 1_2 with 1_4. Expected match: true Computed match: true
Match count: 25. OK   : Compare 1_2 with 1_5. Expected match: true Computed match: true
Match count: 22. OK   : Compare 1_2 with 1_6. Expected match: true Computed match: true
